bike_id,event_year,preventive_event_count
1,2015,2
1,2016,2
1,2017,2
1,2018,2
1,2019,2
1,2020,2
1,2021,2
1,2022,2
2,2015,2
2,2016,2
2,2018,2
2,2019,2
2,2020,2
2,2021,0
2,2022,0
3,2015,2
4,2015,2
4,2016,2
4,2017,2
4,2018,2
4,2019,2
4,2020,2
4,2021,2
4,2022,1
5,2015,2
5,2016,2
5,2017,2
5,2018,2
5,2019,2
5,2020,2
5,2021,2
5,2022,2
6,2015,2
6,2016,2
6,2017,2
6,2018,2
6,2019,2
6,2020,2
6,2021,1
6,2022,2
6,2023,1
7,2015,2
7,2016,2
7,2017,2
7,2018,2
7,2019,2
7,2022,1
8,2015,2
8,2016,2
8,2017,2
8,2018,2
8,2019,2
8,2020,2
8,2021,2
8,2022,2
9,2015,2
9,2016,2
9,2017,2
9,2018,2
9,2019,2
9,2020,2
10,2015,2
10,2016,2
10,2017,2
10,2018,2
10,2019,2
13,2015,2
13,2016,2
13,2017,2
13,2018,2
13,2019,2
13,2020,2
14,2015,2
14,2016,2
14,2017,2
15,2015,2
15,2016,2
15,2017,2
15,2018,2
15,2019,2
16,2015,2
16,2016,2
16,2017,2
16,2018,2
16,2019,2
16,2020,2
16,2021,2
16,2022,2
17,2015,2
17,2016,2
17,2017,2
17,2018,2
17,2019,2
17,2020,2
17,2021,2
17,2022,2
18,2015,2
18,2016,2
18,2017,2
18,2018,2
18,2019,2
18,2020,2
18,2021,2
19,2015,2
19,2016,2
19,2017,2
19,2018,2
19,2019,2
19,2020,2
20,2015,2
20,2016,2
20,2017,2
20,2018,2
20,2019,2
20,2020,2
20,2021,2
20,2022,2
21,2015,2
21,2016,2
21,2017,2
21,2018,2
21,2019,2
21,2020,2
21,2021,2
21,2022,2
22,2015,2
22,2016,2
22,2017,2
22,2018,2
22,2019,2
22,2020,2
22,2021,2
22,2022,2
23,2015,2
23,2016,2
23,2017,2
23,2018,2
23,2019,2
24,2015,2
24,2016,2
24,2017,2
24,2018,2
24,2019,2
24,2020,2
24,2021,2
25,2015,2
25,2016,2
25,2017,2
25,2018,2
25,2019,2
25,2020,2
25,2021,2
25,2022,2
26,2015,2
26,2016,2
26,2017,2
26,2018,2
26,2019,2
26,2020,2
27,2015,2
27,2016,2
27,2017,2
27,2018,2
27,2019,2
27,2020,2
27,2021,0
28,2015,2
28,2016,2
28,2017,2
28,2020,2
28,2021,2
28,2022,2
29,2015,2
29,2016,2
29,2017,2
29,2018,2
29,2019,2
29,2020,2
29,2021,2
29,2022,2
30,2015,2
30,2016,2
30,2017,2
30,2018,2
30,2019,2
30,2020,2
30,2021,1
31,2015,2
31,2016,2
31,2017,2
32,2015,2
32,2016,2
32,2017,2
32,2018,2
33,2015,2
33,2016,2
33,2017,2
33,2018,2
33,2019,2
33,2020,2
33,2021,2
33,2022,2
34,2015,2
34,2016,2
34,2017,2
34,2018,2
34,2019,2
34,2020,2
34,2021,1
35,2015,2
35,2016,2
35,2017,2
35,2018,2
35,2019,2
35,2020,0
36,2015,2
36,2016,2
36,2017,2
36,2018,2
36,2019,2
36,2020,2
36,2021,0
37,2015,2
37,2016,2
37,2017,2
37,2018,2
38,2015,2
38,2016,2
38,2017,2
38,2018,2
38,2019,2
38,2020,2
38,2021,2
38,2022,2
39,2015,2
39,2016,2
39,2017,2
39,2018,2
39,2019,2
39,2020,2
39,2021,2
39,2022,2
40,2015,2
40,2016,2
40,2017,2
41,2015,2
41,2016,2
41,2017,2
41,2018,2
41,2019,2
41,2020,2
41,2021,2
41,2022,2
42,2015,2
42,2016,2
42,2017,2
42,2018,2
42,2019,2
42,2020,2
43,2015,2
43,2016,2
43,2017,2
43,2018,2
43,2019,2
43,2020,2
43,2021,2
43,2022,2
44,2015,2
44,2016,2
44,2017,2
44,2018,2
44,2019,2
44,2020,2
45,2015,2
45,2016,2
45,2017,2
45,2018,2
45,2019,2
45,2020,2
46,2015,2
46,2016,2
46,2017,2
46,2018,2
46,2019,2
46,2020,2
46,2021,2
49,2015,2
49,2016,2
49,2017,2
49,2018,2
49,2019,2
49,2020,2
49,2021,0
50,2015,2
50,2016,2
50,2017,2
50,2018,2
50,2019,2
50,2020,2
51,2015,2
51,2016,2
51,2017,2
51,2018,2
51,2019,2
51,2020,2
51,2021,2
51,2022,2
52,2015,2
52,2016,2
52,2017,2
52,2018,2
52,2019,2
52,2020,2
52,2021,2
52,2022,2
53,2015,2
53,2016,2
53,2017,2
53,2018,2
54,2015,2
54,2016,2
54,2017,2
55,2015,2
55,2016,2
55,2017,2
55,2018,2
55,2019,2
55,2020,2
55,2021,2
55,2022,2
56,2015,0
57,2015,2
58,2015,2
58,2016,2
58,2017,2
58,2018,2
58,2019,2
58,2020,2
58,2021,2
58,2022,2
59,2015,2
59,2016,2
60,2015,2
60,2016,2
60,2017,2
60,2018,2
60,2019,2
60,2020,2
60,2021,2
60,2022,2
61,2015,2
61,2016,2
61,2017,2
61,2018,2
61,2019,2
61,2020,2
61,2021,2
64,2015,2
64,2016,2
64,2017,2
64,2018,2
64,2020,2
66,2015,2
66,2016,2
66,2017,2
66,2018,2
66,2019,2
66,2020,2
66,2021,2
66,2022,2
67,2015,2
67,2016,2
67,2017,2
67,2018,2
67,2019,2
67,2020,2
67,2021,2
67,2022,2
69,2015,2
69,2016,2
69,2017,2
69,2018,2
69,2019,2
69,2020,2
69,2021,0
71,2015,2
71,2016,2
71,2017,2
71,2018,2
71,2019,2
71,2020,2
72,2015,2
72,2016,2
72,2017,2
72,2018,2
72,2019,2
72,2020,2
72,2021,2
72,2022,2
73,2015,2
73,2016,2
73,2017,2
73,2018,2
73,2019,2
73,2020,2
73,2021,2
73,2022,2
74,2015,2
74,2016,2
74,2017,2
74,2018,2
74,2019,2
74,2020,2
74,2021,2
74,2022,2
75,2015,2
75,2016,2
75,2017,2
75,2018,2
75,2019,2
75,2020,2
75,2021,2
75,2022,2
76,2015,2
76,2016,2
76,2017,2
76,2018,2
76,2019,2
76,2020,2
76,2021,1
77,2015,2
77,2016,2
77,2017,2
77,2018,2
77,2019,2
77,2020,2
77,2021,2
77,2022,1
78,2015,2
78,2016,2
78,2017,2
78,2018,2
78,2019,2
78,2020,2
78,2021,2
78,2022,2
79,2015,2
79,2016,2
79,2017,2
79,2018,2
79,2019,2
79,2020,2
79,2021,2
80,2015,2
80,2016,2
80,2017,2
80,2018,2
80,2019,2
80,2020,2
80,2021,2
80,2022,2
81,2015,2
81,2016,2
81,2017,2
81,2018,2
81,2019,2
81,2020,2
81,2021,2
81,2022,2
82,2015,2
83,2015,2
83,2016,2
83,2017,2
83,2018,2
83,2019,2
83,2020,2
83,2021,0
85,2015,2
85,2016,2
85,2017,2
85,2018,2
85,2019,2
85,2020,2
85,2021,2
86,2015,2
86,2016,2
86,2017,2
87,2015,2
87,2016,2
87,2017,2
87,2018,2
88,2015,2
88,2016,2
88,2017,2
88,2018,2
88,2019,2
88,2020,2
88,2021,2
89,2015,2
89,2016,2
89,2017,2
89,2018,2
89,2019,2
89,2020,2
89,2021,1
90,2015,2
90,2016,2
90,2017,2
90,2018,2
90,2019,2
90,2020,2
90,2021,1
92,2015,2
92,2016,2
92,2017,2
92,2018,2
92,2019,2
92,2020,2
93,2015,2
93,2016,2
94,2015,2
94,2016,2
94,2017,2
94,2018,2
94,2019,2
94,2020,2
94,2021,2
94,2022,2
95,2015,2
95,2016,2
95,2017,2
95,2018,2
95,2019,2
95,2020,2
95,2021,2
95,2022,0
96,2015,2
97,2015,2
97,2016,2
97,2017,2
97,2018,2
97,2019,2
97,2020,2
97,2021,2
97,2022,2
98,2015,2
98,2016,2
98,2017,2
98,2018,2
98,2019,2
98,2020,2
98,2021,2
