station_key,station_id,station_name,total_start_count,total_end_count
45335e0a17654e889b0cddbf66f2f189,108,"Abbey Orchard Street, Westminster",117808,140640
47a122e73478bc6efcf67d95b05e3c22,3429,"Abbey Orchard Street, Westminster",3385,4004
6302ada9052829b8d9cd3cc5804eb5c2,864,"Abbey Orchard Street, Westminster",342,877
44fe97c2e632068aee07af6fdb324f42,200111,"Abbotsbury Road, Holland Park",1096,973
fda6382348e6b3743704a98781769c69,559,"Abbotsbury Road, Holland Park",37081,34118
19356630537de9e0cf2fce85433a36b3,2698,"Aberdeen Place, St. John's Wood",2504,2170
6dcbfa5039bc28e5c3cc2c8395421ce1,394,"Aberdeen Place, St. John's Wood",58896,48161
3274c0af1ab737e8cb206a014265fe6d,554,"Aberfeldy Street, Poplar",20361,20257
a1887e65721ba191bdb70130baeca994,200078,"Aberfeldy Street, Poplar",794,788
651de0dc208891f84e7ba28eb7fd62bf,583,"Abingdon Green, Great College Street",136241,162377
d5884f450eaf8053fc8fde4f23c07300,200231,"Abingdon Green, Westminster",2550,3088
753b3a291ec44c1878d87ead26ad8764,583,"Abingdon Green, Westminster",136241,162377
b8f8d29a42d0e9e79c6b9e2ed851c19a,38,"Abingdon Villas, Kensington",62348,61782
020acdee49e40183f9d7dcccc8b5566a,3442,"Abingdon Villas, Kensington",1958,1877
480dd5d985095edfc66dd0fbbeb3d7e5,300099,"Abyssinia Close, Clapham Junction",1698,1726
9c0cbf42bd3286c2ca5b9e1a2d49c929,776,"Abyssinia Close, Clapham Junction",51056,53178
5f20e650867f911b63dfcdda0f0ae1d8,505,"Ackroyd Drive, Bow",58046,52754
de477a69bdbd45a74748ea3d05b99e02,200038,"Ackroyd Drive, Bow",3137,2857
393071cb31dea65cd30ddd6a494379e1,300040,"Ada Street, Hackney Central",2279,2315
220ce6fd8bd61350afa8d22de420a8d5,718,"Ada Street, Hackney Central",104206,108761
e8bed179dc56af08450b985cce16ea25,200218,"Addison Road, Holland Park",1235,1237
373a777ab9d1e712d76189cba7c45b48,606,"Addison Road, Holland Park",39607,38514
78cbf0e4345259a0fd9f6a486decba48,200098,"Aintree Street, Fulham",3682,3365
fc4d231cac60f8974b3140c4f9f597db,616,"Aintree Street, Fulham",85586,81208
2789eb6b69e7ce73b96398effc70b763,540,"Albany Street, Regent's Park",101781,85539
287e87a94ce7dafc59011f5a682b6445,200134,"Albany Street, The Regent's Park",3195,2739
6e55e806cbdcaf1ed637b39ff261cf5d,540,"Albany Street, The Regent's Park",101781,85539
62a229d5cccaabfd38de3035defc514b,710,"Albert Bridge Road, Battersea Park",127865,124398
4be01572fdcd2febd44045fbd72b0f4a,300045,"Albert Bridge Road, Battersea Park",3723,3538
69ddbf8a6b937fa278fb2afdc6219b80,100,"Albert Embankment, Vauxhall",87601,82499
1803d92334fca054a81401aa05a0f63e,869,"Albert Embankment, Vauxhall",236,552
76b0074844b586f9a213a3ed329f06f3,1059,"Albert Embankment, Vauxhall",2426,2436
7f855c2addf280e07ef86904f41c92e3,22166,"Albert Gardens, Stepney",2444,2226
9cd52867e4d500d5930fe56c4bdf2a1e,483,"Albert Gardens, Stepney",90288,83485
62834a9008f45463454d55a27b8f1b45,303,"Albert Gate, Hyde Park",453426,457339
36d42f6ec87ed5ad4b1240f21d3824cb,1132,"Albert Gate, Hyde Park",7461,7374
ec635ac77baa38a7f7f1a31cae71e1cb,802,"Albert Square, Stockwell",76905,71068
0360c3e8a7f32ef8844e63c4d60ca7e1,300209,"Albert Square, Stockwell",2866,2723
16546628c6a75d35441f1c0ffd29fddc,1174,"Alderney Street, Pimlico",4605,4261
07eda964a2765b905c5e63391fb1adb8,185,"Alderney Street, Pimlico",123718,115906
f6192eabbfa5f8e63e19d352cf502503,1065,"Aldersgate Street, Barbican",5640,5694
e7ee165efcd862d3eca96a73a21efa5e,95,"Aldersgate Street, Barbican",177587,184617
813ef1af915de3af706b891faa0942e3,3507,"Alfred Place, Bloomsbury",3916,4049
c53d05097b2abe80426316b5f2c122f9,364,"Alfred Place, Bloomsbury",113348,114879
0166f1227a4faa650f2f039e8d2a92ed,726,"Alfreda Street, Battersea Park",78428,76743
21f9a339fb28a9901e8249398fb97822,300047,"Alfreda Street, Battersea Park",3036,2995
85f0dff9f19ada54d49520573a221d19,300023,"All Saints Church, Portobello",3652,3540
a9931c2a51688440162dee5fec630d5f,661,"All Saints Church, Portobello",136036,134444
6575c550cfff72c6a7068d68d9e45093,643,"All Saints' Road, Portobello",55382,52926
0dc57744bbda4cfa984dd208f8965c06,300026,"All Saints' Road, Portobello",1519,1421
388482a2df8578c80770ae45ba39842d,300242,"Allington Street, Victoria",6914,6951
d978e58848ce632f0fc6d3f8697058db,826,"Allington Street, Victoria",146543,148049
5d7299198ff4a8570aa41557ed838236,826,"Allington street, Off Victoria Street, Westminster",146543,148049
f4381557cac889bf29cd5c5020c527ec,826,"Allington street, Westminster",146543,148049
f342273d1513ec264aac0d4cbc59ea92,826,"Allington street, Westminster, SW1E 5EB",146543,148049
50619ea9b48f2c8553758303129f8b51,724,"Alma Road, Wandsworth",39764,31432
6cc953c8cba106ded0e3582a4c8be3b4,300046,"Alma Road, Wandsworth",1196,1040
682bea22055d9646aaf9e6a07a2be299,576,"Alpha Grove, Millwall",36079,36569
7ee5cf309b1339fc522383c024806ff2,200109,"Alpha Grove, Millwall",940,955
5ef5be301774ea97dca51ef314f65eb5,33,"Altab Ali Park, Whitechapel",111222,111480
6418b991f095a10212b39d33a0daa71e,1019,"Ampton Street , Clerkenwell",2096,1794
9182079b1de0c9ba8688fdd77707852e,26,"Ampton Street , Clerkenwell",76755,67494
25e7166206aa09b7c1acd17372ade01e,500,"Ansell House, Stepney",110690,103798
fe82e9d6e09526a444e583f72fae65a6,200148,"Ansell House, Stepney",3595,3396
480e1ebf7136ed526d9baf37078cceda,200041,"Antill Road, Mile End",2045,1754
9ad5dcf1808793dc5a3bb8aac9a7403c,518,"Antill Road, Mile End",70828,65390
21fb791a140e0b76f0b72d39ec08cf4c,175,"Appold Street, Liverpool Street",95366,108444
aae44154e9efaec884cd76a7b01a89ab,997,"Appold Street, Liverpool Street",4016,4657
7b33d7af92552eb97bbe0e4a8e080b27,785,"Aquatic Centre, Queen Elizabeth Olympic Park",299841,303083
798ee2231c191e985315a6dad198a448,300233,"Aquatic Centre, Queen Elizabeth Olympic Park",6335,6493
92e29bb5fe547777373b40ed7811a142,300025,"Archbishop's Park, Waterloo",1932,1998
3dba5617e6b4b8b30b3850e657c2d109,641,"Archbishop's Park, Waterloo",75753,81493
a6c90d285e67863a481f0fddad6a5af0,168,"Argyll Road, Kensington",69909,71476
347e607877686157fe3e5a96bd0f658c,3463,"Argyll Road, Kensington",1894,1867
cd7e381c92a8004639e522b3485b15c2,200070,"Arlington Road, Camden Town",1861,1790
afee4044fa1aa2135f750b48b46ee4c6,545,"Arlington Road, Camden Town",74700,74977
6a96b802f5d5bf0ae4c12b3ca1e7dbeb,79,"Arundel Street, Temple",35051,37501
09e8b289e2e1aad07b9bd478899e1c96,3455,"Arundel Street, Temple",225,227
030bb05a0a1a7bbdf84922cf0be83671,200169,"Ashley Crescent, Battersea",2263,2160
e1ffea9d613d5aa406e9f879eb955816,670,"Ashley Crescent, Battersea",75295,71182
107d122df8c54c3ed207772f21242612,1122,"Ashley Place, Victoria",3290,3495
a83ad54500620697ffd1080e1dfd3900,177,"Ashley Place, Victoria",171816,180365
e9bca09ccc7676613ba794a454c8bf60,200223,"Ashmole Estate, Oval",2067,1973
502d8fec89d040f1da012c63a9389907,654,"Ashmole Estate, Oval",74711,70932
a52d38b733d607730ad42a22b7890ab8,200013,"Aston Street, Stepney",2201,2002
d7af07fdc74f1250ed91fc23c8d15ad1,461,"Aston Street, Stepney",48607,45990
793cae93c23f6cad4cfa42e1b36dd1d3,664,"Austin Road, Battersea",97537,93039
5f5455cb3c356247e0feff4ca8ea6c44,664,"Austin Road, Battersea Park",97537,93039
b61b414332e731fc085f0552e87b731f,300013,"Austin Road, Battersea Park",2993,3005
ac1ef5559d005acc2ff81a859217cd15,300049,"Aylward Street, Stepney",1508,1394
4b24189a9af64fc249e023fffb2522ee,715,"Aylward Street, Stepney",56660,50941
