date_key,year,month,quarter,day_of_week,day_type
20150101,2015,1,1,4,Weekday
20150102,2015,1,1,5,Weekday
20150103,2015,1,1,6,Weekend
20150104,2015,1,1,7,Weekend
20150105,2015,1,1,1,Weekday
20150106,2015,1,1,2,Weekday
20150107,2015,1,1,3,Weekday
20150108,2015,1,1,4,Weekday
20150109,2015,1,1,5,Weekday
20150110,2015,1,1,6,Weekend
20150111,2015,1,1,7,Weekend
20150112,2015,1,1,1,Weekday
20150113,2015,1,1,2,Weekday
20150114,2015,1,1,3,Weekday
20150115,2015,1,1,4,Weekday
20150116,2015,1,1,5,Weekday
20150117,2015,1,1,6,Weekend
20150118,2015,1,1,7,Weekend
20150119,2015,1,1,1,Weekday
20150120,2015,1,1,2,Weekday
20150121,2015,1,1,3,Weekday
20150122,2015,1,1,4,Weekday
20150123,2015,1,1,5,Weekday
20150124,2015,1,1,6,Weekend
20150125,2015,1,1,7,Weekend
20150126,2015,1,1,1,Weekday
20150127,2015,1,1,2,Weekday
20150128,2015,1,1,3,Weekday
20150129,2015,1,1,4,Weekday
20150130,2015,1,1,5,Weekday
20150131,2015,1,1,6,Weekend
20150201,2015,2,1,7,Weekend
20150202,2015,2,1,1,Weekday
20150203,2015,2,1,2,Weekday
20150204,2015,2,1,3,Weekday
20150205,2015,2,1,4,Weekday
20150206,2015,2,1,5,Weekday
20150207,2015,2,1,6,Weekend
20150208,2015,2,1,7,Weekend
20150209,2015,2,1,1,Weekday
20150210,2015,2,1,2,Weekday
20150211,2015,2,1,3,Weekday
20150212,2015,2,1,4,Weekday
20150213,2015,2,1,5,Weekday
20150214,2015,2,1,6,Weekend
20150215,2015,2,1,7,Weekend
20150216,2015,2,1,1,Weekday
20150217,2015,2,1,2,Weekday
20150218,2015,2,1,3,Weekday
20150219,2015,2,1,4,Weekday
20150220,2015,2,1,5,Weekday
20150221,2015,2,1,6,Weekend
20150222,2015,2,1,7,Weekend
20150223,2015,2,1,1,Weekday
20150224,2015,2,1,2,Weekday
20150225,2015,2,1,3,Weekday
20150226,2015,2,1,4,Weekday
20150227,2015,2,1,5,Weekday
20150228,2015,2,1,6,Weekend
